City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
224,mersing,2.4312,103.8405,298.1,94,20,2.57,MY,1698612539
225,talagutong,6.2644,125.6678,299.43,78,54,0.88,PH,1698612540
226,isangel,-19.55,169.2667,296.92,63,18,4.82,VU,1698612540
227,quatre cocos,-20.2078,57.7625,297.21,79,13,4.18,MU,1698612540
228,bereznik,62.8551,42.7072,269.04,95,97,2.21,RU,1698612540
229,nabire,-3.3667,135.4833,297.28,93,100,1.49,ID,1698612398
230,la palma del condado,37.3861,-6.5523,290.96,84,100,6.14,ES,1698612541
231,rongelap,11.1635,166.8941,301.83,70,95,8.65,MH,1698612440
232,kirensk,57.7853,108.1119,269.24,51,100,3.58,RU,1698612542
233,cedral,23.8,-100.7333,300.31,32,8,2.13,MX,1698612542
234,camana,-16.6228,-72.7111,294.34,77,36,4.64,PE,1698612542
235,caleta de carquin,-11.0925,-77.6267,294.5,79,70,5.4,PE,1698612446
236,vilyuysk,63.7553,121.6247,258.71,97,51,2.24,RU,1698612453
237,mitsamiouli,-11.3847,43.2844,299.38,80,15,5.22,KM,1698612544
238,vorgashor,67.5833,63.95,256.25,96,24,2.52,RU,1698612436
239,minas de marcona,-15.2119,-75.1103,292.61,63,44,7.52,PE,1698612431
240,flying fish cove,-10.4217,105.6791,297.97,88,75,4.12,CX,1698612493
241,damoh,23.8333,79.45,291.76,50,6,0.35,IN,1698612547
242,kota kinabalu,5.9749,116.0724,299.14,89,20,2.24,MY,1698612547
243,east london,-33.0153,27.9116,287.55,67,95,5.72,ZA,1698612239
244,krasnoarmeyskoye,52.7182,50.0322,275.31,95,100,7.71,RU,1698612547
245,xilin hot,43.9667,116.0333,272.26,42,15,1.65,CN,1698612548
246,ramon',51.9157,39.3361,278.76,75,75,5.0,RU,1698612549
247,urucara,-2.5364,-57.76,311.31,24,99,1.67,BR,1698612550
248,heroica caborca,30.7167,-112.15,301.56,21,0,4.47,MX,1698612437
249,axim,4.8699,-2.2405,299.39,84,2,2.26,GH,1698612484
250,chernyshevskiy,63.0128,112.4714,262.6,95,100,1.9,RU,1698612554
251,kununurra,-15.7667,128.7333,295.14,88,61,0.0,AU,1698612461
252,pelabuhanratu,-6.9875,106.5514,297.75,85,11,1.53,ID,1698612554
253,santiago de cao,-7.9589,-79.2392,294.22,83,20,4.12,PE,1698612555
254,sinton,28.0367,-97.5092,305.47,56,64,5.69,US,1698612557
255,bom jesus,-9.0744,-44.3586,306.93,18,45,2.85,BR,1698612558
256,iskateley,67.6803,53.1512,264.27,86,100,5.81,RU,1698612423
257,tangalle,6.024,80.7911,298.13,85,95,0.7,LK,1698612558
258,lumphat,13.4878,106.9816,295.77,98,100,1.3,KH,1698612558
259,haimen,23.1935,116.6142,296.09,78,67,5.0,CN,1698612559
260,isafjordur,66.0755,-23.124,274.3,79,30,1.56,IS,1698612420
261,isiro,2.7739,27.616,293.22,98,100,1.17,CD,1698612561
262,paysandu,-32.3214,-58.0756,302.07,50,25,3.7,UY,1698612326
263,murghob,38.1702,73.9667,272.2,54,22,1.29,TJ,1698612563
264,trincomalee,8.5711,81.2335,299.94,78,98,1.53,LK,1698612563
265,kodinsk,58.6881,99.1844,266.73,79,48,1.31,RU,1698612479
266,bu'aale,1.0833,42.5833,297.84,88,85,1.5,SO,1698612563
267,luderitz,-26.6481,15.1594,294.69,34,0,5.67,NA,1698612430
268,ola,59.5833,151.2833,270.95,68,16,2.16,RU,1698612448
269,port elizabeth,-33.918,25.5701,287.77,69,40,6.69,ZA,1698612446
270,crane,31.3974,-102.3501,277.69,82,100,8.94,US,1698612472
271,yuzha,56.5831,42.0122,272.39,88,100,4.19,RU,1698612564
272,nova sintra,14.8667,-24.7167,296.23,67,81,3.91,CV,1698612432
273,fisterra,42.9049,-9.2629,285.94,71,100,8.1,ES,1698612481
274,palmer,42.1584,-72.3287,282.17,83,100,3.6,US,1698612508
275,macau,22.2006,113.5461,298.04,83,40,2.57,MO,1698612565
276,huarmey,-10.0681,-78.1522,295.15,77,60,5.42,PE,1698612426
277,kargopol',61.5071,38.9456,268.9,91,100,1.72,RU,1698612566
278,armacao de buzios,-22.7469,-41.8817,301.24,84,76,10.11,BR,1698612567
279,puerto gaitan,4.3133,-72.0816,300.24,80,100,1.0,CO,1698612568
280,mariinsk,56.2139,87.7472,265.86,94,7,2.19,RU,1698612569
281,dolores,-36.3132,-57.6792,289.35,92,100,3.77,AR,1698612336
282,birjand,32.8663,59.2211,289.41,31,0,0.0,IR,1698612437
283,maqat,47.65,53.3167,284.57,68,1,6.22,KZ,1698612571
284,abepura,-2.6333,140.5833,298.6,89,20,1.54,ID,1698612571
285,barentu,15.1139,37.5928,298.03,59,96,1.58,ER,1698612573
286,qaisumah,28.3112,46.1273,296.13,31,0,1.54,SA,1698612463
